,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_2221,-10772.8986720029,13400.3714753502,4,7,7,15,6,8,3,3,11,11
cell_10189,12081.1013279971,13372.3714753502,11,8,8,6,5,1,0,11,10,3
cell_10580,13166.1013279971,13397.3714753502,1,0,2,0,9,0,1,0,0,8
cell_9969,11567.1013279971,13415.3714753502,11,8,8,6,5,2,2,11,10,3
cell_4036,-5281.89867200291,13396.3714753502,10,9,12,8,8,1,0,9,9,1
cell_5008,-2254.89867200291,13327.3714753502,10,9,12,8,8,1,0,9,7,1
cell_10091,11855.1013279971,13408.3714753502,14,15,16,17,17,14,15,14,14,16
cell_8797,8570.10132799709,13357.3714753502,5,1,0,12,14,9,11,12,11,9
cell_4604,-3433.89867200291,13352.3714753502,5,3,3,3,3,6,7,7,8,5
cell_5145,-1841.89867200291,13335.3714753502,10,9,12,8,8,1,0,9,9,1
cell_1692,-12353.8986720029,13393.3714753502,5,3,18,4,4,13,14,16,17,19
cell_4368,-4279.89867200291,13316.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3473,-7096.89867200291,13338.3714753502,11,8,8,6,5,1,0,11,10,3
cell_516,-15278.8986720029,13348.3714753502,4,7,7,5,6,8,3,4,4,13
